field_name,field_label,field_type,field_unit,field_options,field_skip_logic,parent_field_name,section,table_name,phase
compl_ards,Acute Respiratory Distress Syndrome (ARDS),categorical_ynu,,"[""Yes"", ""No"", ""Unknown""]",,compl,compl,outcome,outcome
inter,INTERVENTIONS,section,,,,,inter,outcome,outcome
inter_suppleo2,Any supplemental oxygen?,categorical_ynu,,"[""Yes"", ""No"", ""Unknown""]",,inter,inter,outcome,outcome
inter_o2support_type,If yes: Select all types of respiratory support the patient received,checkbox,,"[""High flow nasal oxygen"", ""Non-invasive ventilation"", ""Invasive ventilation"", ""Unknown""]","inter_o2support == ""Yes""",inter_suppleo2,inter,outcome,outcome
vital,VITAL SIGNS & ASSESSMENTS,section,,,,,vital,daily,during_observation
vital_highesttem_c,Highest temperature (°C),number,°C,,,vital,vital,daily,during_observation
vital_hr,HR,number,bpm,,,vital,vital,daily,during_observation
vital_rr,RR,number,breaths/min,,,vital,vital,daily,during_observation
vital_meanbp,Mean arterial blood pressure,number,mmHg,,,vital,vital,daily,during_observation
vital_gcs,Glasgow Coma Score (GCS / 15),number,,,,vital,vital,daily,during_observation
sympt,SIGNS AND SYMPTOMS,section,,,,,sympt,daily,during_observation
sympt_fever,Fever,categorical_ynu,,"[""Yes"", ""No"", ""Unknown""]",,sympt,sympt,daily,during_observation
sympt_headache,Headache,categorical_ynu,,"[""Yes"", ""No"", ""Unknown""]",,sympt,sympt,daily,during_observation
treat,TREATMENTS & INTERVENTIONS,section,,,,,treat,daily,during_observation
treat_o2supp_suppleo2,Supplemental oxygen,categorical_ynu,,"[""Yes"", ""No"", ""Unknown""]",,treat,treat,daily,during_observation
labs,LABORATORY RESULTS,section,,,,,labs,daily,during_observation
labs_platelets_103ul,Platelets,number,10^3/uL,,,labs,labs,daily,during_observation
labs_bilirubin_mgdl,Total bilirubin,number,mg/dL,,,labs,labs,daily,during_observation
labs_creatinine_mgdl,Creatinine,number,mg/dL,,,labs,labs,daily,during_observation
medi,MEDICATION,section,,,,,medi,events_medication,during_observation
medi_antiviralagent,Antiviral,categorical,,"[""Oseltamivir (Tamiflu)"", ""Peramivir"", ""Zanamivir (Relenza)""]",,medi,medi,events_medication,during_observation
medi_medtype,Select agents administered while hospitalised or at discharge,categorical,,"[""Antiviral""]",,medi,medi,events_medication,during_observation
medi_treat,Is this medication treating the disease?,categorical_ynu,,"[""Yes"", ""No"", ""Unknown""]",,medi,medi,events_medication,during_observation
medi_medstartdate,Date medication started / first dose,datetime,,,,medi,medi,events_medication,during_observation
medi_medenddate,Date medication stopped / last dose,datetime,,,,medi,medi,events_medication,during_observation
medi_numdays,Total number of days treatment given,integer,,,,medi,medi,events_medication,during_observation
medi_dose,Dose,number,,,,medi,medi,events_medication,during_observation
medi_units,Units,string,,,,medi,medi,events_medication,during_observation
